system,case_id,finding_id,obligation_id,referee_outcome,on_candidate,on_reference,grader_label,false_accusation,title
abl_clause_only_referee,full_jitter_backoff__v12,F-01,OB-007,upheld,fail,pass,sound,0,"Validate attempts, then base, then cap in that fixed sequence unconditionally, so an invalid base or cap still raises ValueError even when attempts is 0."
abl_clause_only_referee,http_range_resolve__t20,F-01,OB-009,upheld,fail,fail,unsound,1,"A comma-separated range set in which every element is empty (no non-empty spec present) must be treated as unparseable, not as a valid zero-range result."
abl_clause_only_referee,http_range_resolve__t40,F-01,OB-009,upheld,fail,fail,unsound,1,"A comma-separated range set in which every element is empty (no non-empty spec present) must be treated as unparseable, not as a valid zero-range result."
abl_docstrings,full_jitter_backoff__t22,F-01,OB-006,upheld,fail,fail,unsound,1,"When cap is at or below base, every attempt's ceiling, including attempt 0's, must equal cap exactly."
abl_docstrings,full_jitter_backoff__t42,F-01,OB-006,upheld,fail,fail,unsound,1,"When cap is at or below base, every attempt's ceiling, including attempt 0's, must equal cap exactly."
abl_docstrings,full_jitter_backoff__t46,F-01,OB-006,upheld,fail,fail,unsound,1,"When cap is at or below base, every attempt's ceiling, including attempt 0's, must equal cap exactly."
abl_docstrings,full_jitter_backoff__v12,F-01,OB-007,upheld,fail,pass,sound,0,"Validate attempts, then base, then cap in that fixed sequence unconditionally, so an invalid base or cap still raises ValueError even when attempts is 0."
abl_no_barrier,full_jitter_backoff__v12,F-01,OB-001,upheld,fail,pass,sound,0,"Validate base and cap (in that order) even when attempts == 0, so an invalid base or cap still raises ValueError before an empty list would otherwise be returne"
abl_no_barrier,http_range_resolve__v0,F-01,OB-005,upheld,fail,fail,unsound,1,"Whitespace around the '=' or inside a byte-range-spec makes the header malformed and it must be ignored (whole representation returned), not tolerated as a pars"
abl_no_gate,full_jitter_backoff__v12,F-01,OB-007,upheld,fail,pass,sound,0,"Validate attempts, then base, then cap in that fixed sequence unconditionally, so an invalid base or cap still raises ValueError even when attempts is 0."
abl_no_memory,full_jitter_backoff__v12,F-01,OB-007,upheld,fail,pass,sound,0,"Validate attempts, then base, then cap in that fixed sequence unconditionally, so an invalid base or cap still raises ValueError even when attempts is 0."
abl_no_oracle,full_jitter_backoff__v12,F-01,OB-007,upheld,fail,pass,sound,0,"Validate attempts, then base, then cap in that fixed sequence unconditionally, so an invalid base or cap still raises ValueError even when attempts is 0."
abl_no_property,full_jitter_backoff__v12,F-01,OB-007,upheld,fail,pass,sound,0,"Validate attempts, then base, then cap in that fixed sequence unconditionally, so an invalid base or cap still raises ValueError even when attempts is 0."
abl_no_referee,discount_stacking__v11,F-01,OB-002,upheld,fail,fail,unsound,1,"Round the running total to two decimal places at the end of every single step, not only once after the final discount, so each step reads the rounded output of "
abl_no_referee,discount_stacking__v11,F-02,OB-010,upheld,fail,fail,unsound,1,Never mutate the discounts list or any mapping inside it as a side effect of computing the result.
abl_no_referee,discount_stacking__v12,F-01,OB-010,upheld,fail,fail,unsound,1,Never mutate the discounts list or any mapping inside it as a side effect of computing the result.
abl_no_referee,full_jitter_backoff__t22,F-01,OB-005,upheld,fail,fail,unsound,1,A cap at or below base must be accepted as a legitimate input and must not raise an error.
abl_no_referee,full_jitter_backoff__t42,F-01,OB-005,upheld,fail,fail,unsound,1,A cap at or below base must be accepted as a legitimate input and must not raise an error.
abl_no_referee,full_jitter_backoff__t46,F-01,OB-005,upheld,fail,fail,unsound,1,A cap at or below base must be accepted as a legitimate input and must not raise an error.
abl_no_referee,full_jitter_backoff__v12,F-01,OB-007,upheld,fail,pass,sound,0,"Validate attempts, then base, then cap in that fixed sequence unconditionally, so an invalid base or cap still raises ValueError even when attempts is 0."
abl_no_referee,http_range_resolve__t20,F-01,OB-009,upheld,fail,fail,unsound,1,"A comma-separated range set in which every element is empty (no non-empty spec present) must be treated as unparseable, not as a valid zero-range result."
abl_no_referee,http_range_resolve__t40,F-01,OB-009,upheld,fail,fail,unsound,1,"A comma-separated range set in which every element is empty (no non-empty spec present) must be treated as unparseable, not as a valid zero-range result."
abl_no_referee,http_range_resolve__v0,F-01,OB-005,upheld,fail,fail,unsound,1,"A header that does not match the accepted syntax must be ignored entirely, causing the whole representation to be returned instead of raising any exception."
baseline_agent,csv_rfc4180__t20,F-01,-,upheld,pass,pass,not_a_counterexample,0,test_final_sweep_of_uncovered_cases
baseline_agent,currency_quantize__t24,F-01,-,upheld,fail,pass,sound,0,Ticket states amount handling has 'no bound on magnitude' and any finite-number string Decimal accepts is valid input; format_amount raises an unhandled decimal
baseline_agent,currency_quantize__v11,F-01,-,upheld,fail,pass,sound,0,"Ticket says 'There is no bound on magnitude' for amount, but format_amount crashes with decimal.InvalidOperation (uncaught) instead of returning a formatted str"
baseline_agent,currency_quantize__v12,F-01,-,upheld,fail,fail,unsound,1,"Ticket states 'There is no bound on magnitude' for amount, but format_amount raises decimal.InvalidOperation (uncaught ArithmeticError) for very large amounts b"
baseline_agent,discount_stacking__t20,F-01,-,upheld,fail,pass,sound,0,Ticket grammar for the decimal-string boundary explicitly forbids 'surrounding whitespace' and 'nothing else' beyond digits/sign/dot; a trailing newline should 
baseline_agent,discount_stacking__t20,F-02,-,upheld,fail,pass,sound,0,Same grammar applies to discount 'value' strings; a trailing newline should be rejected but the `$`-anchored regex accepts it due to Python's regex semantics wh
baseline_agent,discount_stacking__t20,F-03,-,upheld,fail,fail,unsound,1,"The ticket's error condition is phrased as 'is not a mapping', implying any object satisfying the Mapping protocol should be accepted, but the implementation's "
baseline_agent,discount_stacking__v0,F-01,-,upheld,pass,pass,not_a_counterexample,0,test_negative_discount_values_and_clamp_then_percent
baseline_agent,discount_stacking__v10,F-01,-,upheld,fail,pass,sound,0,"Violates the money-representation grammar ('The accepted grammar is an optional -, then one or more digits, then optionally a . followed by one or more digits. "
baseline_agent,discount_stacking__v11,F-01,-,upheld,fail,pass,sound,0,"Ticket rule: 'The sign of zero is not significant: zero is returned as ""0.00"", never ""-0.00"".' Subtotal ""-0"" is valid per the grammar (optional '-' then digits)"
baseline_agent,discount_stacking__v11,F-02,-,upheld,fail,pass,sound,0,"Same rule as above, exercised with a fractional negative-zero string. ""-0.00"" matches the grammar, is not negative, and per the ticket must normalize to ""0.00"","
baseline_agent,discount_stacking__v12,F-01,-,upheld,fail,pass,sound,0,"Rule 1/3 explicitly states 'The sign of zero is not significant: zero is returned as ""0.00"", never ""-0.00""', but apply_discounts(""-0.00"", []) returns ""-0.00"" be"
baseline_agent,discount_stacking__v12,F-02,-,upheld,fail,fail,unsound,1,The ticket's error rule says ValueError is raised when 'An element of discounts is not a mapping' and separately requires the function not mutate 'any mapping i
baseline_agent,full_jitter_backoff__t20,F-01,-,upheld,pass,pass,not_a_counterexample,0,test_ticket_worked_example
baseline_agent,full_jitter_backoff__v12,F-01,-,upheld,fail,pass,sound,0,"Ticket specifies validation order 'attempts, then base, then cap' implying base and cap are always validated (e.g. must be finite and >0), but the implementatio"
baseline_agent,http_range_resolve__t20,F-01,-,upheld,fail,pass,sound,0,Ticket requires first/last/suffix to be ASCII digits; anything not fitting the grammar (including non-ASCII digit-like characters) must be ignored entirely and 
