system,case_id,task_id,split,has_defect,trap_id,spec_visible,trap_class,detected,detected_lenient,false_alarm,tests_emitted,sound_counterexamples,unsound_claims,flakes,reported_verdict,llm_calls,input_tokens,output_tokens,usd,wall_ms,error
abl_clause_only_referee,allocate_money__t21,allocate_money,test,0,,,,0,0,0,0,0,0,0,NEEDS_HUMAN,8,9608,3215,0.077049,13607,
abl_clause_only_referee,allocate_money__v0,allocate_money,test,0,,,,0,0,0,0,0,0,0,NEEDS_HUMAN,9,11337,3244,0.082671,15538,
abl_clause_only_referee,allocate_money__v1,allocate_money,test,0,,,,0,0,0,0,0,0,0,NEEDS_HUMAN,9,11337,3244,0.082671,16125,
abl_clause_only_referee,csv_rfc4180__t20,csv_rfc4180,test,0,,,,0,0,0,0,0,0,0,NEEDS_HUMAN,11,13024,3532,0.092052,19716,
abl_clause_only_referee,csv_rfc4180__v0,csv_rfc4180,test,0,,,,0,0,0,0,0,0,0,NEEDS_HUMAN,11,15444,5199,0.124317,15000,
abl_clause_only_referee,csv_rfc4180__v1,csv_rfc4180,test,0,,,,0,0,0,0,0,0,0,NEEDS_HUMAN,11,15444,5199,0.124317,14886,
abl_clause_only_referee,discount_stacking__v11,discount_stacking,test,1,"discount_stacking::(found by authoritative selftest, not by fuzzing)",1,arithmetic/rounding,0,0,0,0,0,0,0,NEEDS_HUMAN,13,16425,4830,0.121725,17969,
abl_clause_only_referee,discount_stacking__v12,discount_stacking,test,1,"discount_stacking::(found by authoritative selftest, not by fuzzing)",1,arithmetic/rounding,0,0,0,0,0,0,0,NEEDS_HUMAN,13,16407,4817,0.121476,17892,
abl_clause_only_referee,full_jitter_backoff__t22,full_jitter_backoff,test,1,"full_jitter_backoff::schedule(2100, 1e-300, 1e+300, <function _make_rand.<locals>.rand >)",0,algorithm-identity/formula-substitution,0,0,0,0,0,0,0,NEEDS_HUMAN,11,12933,3370,0.089349,17075,
abl_clause_only_referee,full_jitter_backoff__t42,full_jitter_backoff,test,1,"full_jitter_backoff::schedule(2100, 1e-300, 1e+300, <function _make_rand.<locals>.rand >)",0,algorithm-identity/formula-substitution,0,0,0,0,0,0,0,NEEDS_HUMAN,11,12933,3370,0.089349,17119,
abl_clause_only_referee,full_jitter_backoff__t46,full_jitter_backoff,test,1,"full_jitter_backoff::schedule(2100, 1e-300, 1e+300, <function _make_rand.<locals>.rand >)",0,algorithm-identity/formula-substitution,0,0,0,0,0,0,0,NEEDS_HUMAN,11,12933,3370,0.089349,16738,
abl_clause_only_referee,full_jitter_backoff__v12,full_jitter_backoff,test,1,"full_jitter_backoff::schedule(0, 1e-300, -1.0, <function _make_rand.<locals>.rand >)",0,algorithm-identity/formula-substitution,1,1,0,1,1,0,0,DEFECT,14,18021,4120,0.115863,21118,
abl_clause_only_referee,http_range_resolve__t20,http_range_resolve,test,1,"http_range_resolve::resolve_range('bytes= ,0-1', 3)",0,boundary/off-by-one,0,0,0,1,0,1,0,DEFECT,11,13878,3342,0.091764,17415,
abl_clause_only_referee,http_range_resolve__t40,http_range_resolve,test,1,"http_range_resolve::resolve_range('bytes= ,0-1', 3)",0,boundary/off-by-one,0,0,0,1,0,1,0,DEFECT,11,13878,3342,0.091764,17374,
abl_clause_only_referee,http_range_resolve__v0,http_range_resolve,test,1,"http_range_resolve::resolve_range('bytes= ,0-1', 3)",0,boundary/off-by-one,0,0,0,0,0,0,0,NEEDS_HUMAN,12,15691,3124,0.093933,19535,
abl_docstrings,allocate_money__t21,allocate_money,test,0,,,,0,0,0,0,0,0,0,NEEDS_HUMAN,8,9766,3168,0.076818,13954,
abl_docstrings,allocate_money__v0,allocate_money,test,0,,,,0,0,0,0,0,0,0,NEEDS_HUMAN,9,11473,3060,0.080319,15916,
abl_docstrings,allocate_money__v1,allocate_money,test,0,,,,0,0,0,0,0,0,0,NEEDS_HUMAN,9,11486,3149,0.081693,17390,
abl_docstrings,csv_rfc4180__t20,csv_rfc4180,test,0,,,,0,0,0,0,0,0,0,NEEDS_HUMAN,11,13174,3511,0.092187,21129,
abl_docstrings,csv_rfc4180__v0,csv_rfc4180,test,0,,,,0,0,0,0,0,0,0,NEEDS_HUMAN,11,15604,4894,0.120222,17610,
abl_docstrings,csv_rfc4180__v1,csv_rfc4180,test,0,,,,0,0,0,0,0,0,0,NEEDS_HUMAN,11,15615,5234,0.125355,16177,
abl_docstrings,discount_stacking__v11,discount_stacking,test,1,"discount_stacking::(found by authoritative selftest, not by fuzzing)",1,arithmetic/rounding,0,0,0,0,0,0,0,NEEDS_HUMAN,11,15859,4695,0.118002,17580,
abl_docstrings,discount_stacking__v12,discount_stacking,test,1,"discount_stacking::(found by authoritative selftest, not by fuzzing)",1,arithmetic/rounding,0,0,0,0,0,0,0,NEEDS_HUMAN,11,15851,4690,0.117903,17738,
abl_docstrings,full_jitter_backoff__t22,full_jitter_backoff,test,1,"full_jitter_backoff::schedule(2100, 1e-300, 1e+300, <function _make_rand.<locals>.rand >)",0,algorithm-identity/formula-substitution,0,0,0,1,0,1,0,DEFECT,14,17274,3875,0.107991,26854,
abl_docstrings,full_jitter_backoff__t42,full_jitter_backoff,test,1,"full_jitter_backoff::schedule(2100, 1e-300, 1e+300, <function _make_rand.<locals>.rand >)",0,algorithm-identity/formula-substitution,0,0,0,1,0,1,0,DEFECT,14,17274,3875,0.107991,25834,
abl_docstrings,full_jitter_backoff__t46,full_jitter_backoff,test,1,"full_jitter_backoff::schedule(2100, 1e-300, 1e+300, <function _make_rand.<locals>.rand >)",0,algorithm-identity/formula-substitution,0,0,0,1,0,1,0,DEFECT,14,17274,3859,0.107751,25206,
abl_docstrings,full_jitter_backoff__v12,full_jitter_backoff,test,1,"full_jitter_backoff::schedule(0, 1e-300, -1.0, <function _make_rand.<locals>.rand >)",0,algorithm-identity/formula-substitution,1,1,0,1,1,0,0,DEFECT,13,17848,3815,0.110769,19715,
abl_docstrings,http_range_resolve__t20,http_range_resolve,test,1,"http_range_resolve::resolve_range('bytes= ,0-1', 3)",0,boundary/off-by-one,0,0,0,0,0,0,0,NEEDS_HUMAN,10,13422,3180,0.087966,14380,
abl_docstrings,http_range_resolve__t40,http_range_resolve,test,1,"http_range_resolve::resolve_range('bytes= ,0-1', 3)",0,boundary/off-by-one,0,0,0,0,0,0,0,NEEDS_HUMAN,10,13422,3180,0.087966,16049,
abl_docstrings,http_range_resolve__v0,http_range_resolve,test,1,"http_range_resolve::resolve_range('bytes= ,0-1', 3)",0,boundary/off-by-one,0,0,0,0,0,0,0,NEEDS_HUMAN,11,14773,3028,0.089739,20459,
abl_no_barrier,allocate_money__t21,allocate_money,test,0,,,,0,0,0,0,0,0,0,NEEDS_HUMAN,11,14146,5592,0.126318,12537,
abl_no_barrier,allocate_money__v0,allocate_money,test,0,,,,0,0,0,0,0,0,0,NEEDS_HUMAN,12,16437,5063,0.125256,16849,
