system,case_id,task_id,split,has_defect,trap_id,trap_class,detected,detected_lenient,false_alarm,tests_emitted,sound_counterexamples,unsound_claims,flakes,reported_verdict,llm_calls,input_tokens,output_tokens,usd,wall_ms,error
agent_plus_oracle,allocate_money__t21,allocate_money,test,0,,,0,0,0,0,0,0,0,CLEAN,12,25788,3516,0.130104,4,
agent_plus_oracle,allocate_money__v0,allocate_money,test,0,,,0,0,0,0,0,0,0,CLEAN,8,21068,3196,0.111144,4,
agent_plus_oracle,allocate_money__v1,allocate_money,test,0,,,0,0,0,0,0,0,0,CLEAN,6,15532,1702,0.072126,4,
agent_plus_oracle,csv_rfc4180__t20,csv_rfc4180,test,0,,,0,0,0,1,0,0,0,CLEAN,12,24664,6270,0.168042,6696,
agent_plus_oracle,csv_rfc4180__v0,csv_rfc4180,test,0,,,0,0,0,0,0,0,0,CLEAN,8,23704,2572,0.109692,2,
agent_plus_oracle,csv_rfc4180__v1,csv_rfc4180,test,0,,,0,0,0,0,0,0,0,CLEAN,6,16920,2540,0.088860,4,
agent_plus_oracle,currency_quantize__t24,currency_quantize,test,0,,,1,1,1,1,1,0,0,CLEAN,8,15162,1629,0.069921,14,SchemaRepairFailed: oracle: model did not satisfy the schema after 3 attempts. Last error: no parsable JSON found in model output
agent_plus_oracle,currency_quantize__v11,currency_quantize,test,0,,,1,1,1,1,1,0,0,CLEAN,9,22029,1910,0.094737,17,SchemaRepairFailed: oracle: model did not satisfy the schema after 3 attempts. Last error: no parsable JSON found in model output
agent_plus_oracle,currency_quantize__v12,currency_quantize,test,0,,,0,0,1,1,0,1,0,CLEAN,9,21131,1910,0.092043,18,SchemaRepairFailed: oracle: model did not satisfy the schema after 3 attempts. Last error: no parsable JSON found in model output
agent_plus_oracle,discount_stacking__t20,discount_stacking,test,0,,,0,1,1,3,2,1,0,CLEAN,5,10097,1464,0.052251,10,SchemaRepairFailed: oracle: model did not satisfy the schema after 3 attempts. Last error: no parsable JSON found in model output
agent_plus_oracle,discount_stacking__v0,discount_stacking,test,0,,,0,0,0,1,0,0,0,CLEAN,12,40580,6312,0.216420,6672,
agent_plus_oracle,discount_stacking__v10,discount_stacking,test,0,,,1,1,1,1,1,0,0,CLEAN,8,22917,1973,0.098346,16,SchemaRepairFailed: oracle: model did not satisfy the schema after 3 attempts. Last error: no parsable JSON found in model output
agent_plus_oracle,discount_stacking__v11,discount_stacking,test,1,"discount_stacking::(found by authoritative selftest, not by fuzzing)",arithmetic/rounding,1,1,0,2,2,0,0,CLEAN,7,19458,1367,0.078879,14,SchemaRepairFailed: oracle: model did not satisfy the schema after 3 attempts. Last error: no parsable JSON found in model output
agent_plus_oracle,discount_stacking__v12,discount_stacking,test,1,"discount_stacking::(found by authoritative selftest, not by fuzzing)",arithmetic/rounding,0,1,0,2,1,1,0,CLEAN,9,27650,2172,0.115530,18,SchemaRepairFailed: oracle: model did not satisfy the schema after 3 attempts. Last error: no parsable JSON found in model output
agent_plus_oracle,full_jitter_backoff__t20,full_jitter_backoff,test,0,,,0,0,0,1,0,0,0,CLEAN,12,23704,4488,0.138432,6726,
agent_plus_oracle,full_jitter_backoff__t22,full_jitter_backoff,test,1,"full_jitter_backoff::schedule(2100, 1e-300, 1e+300, <function _make_rand.<locals>.rand >)",algorithm-identity/formula-substitution,0,0,0,0,0,0,0,CLEAN,12,23708,3970,0.130674,4,
agent_plus_oracle,full_jitter_backoff__t42,full_jitter_backoff,test,1,"full_jitter_backoff::schedule(2100, 1e-300, 1e+300, <function _make_rand.<locals>.rand >)",algorithm-identity/formula-substitution,0,0,0,0,0,0,0,CLEAN,12,23708,3970,0.130674,4,
agent_plus_oracle,full_jitter_backoff__t46,full_jitter_backoff,test,1,"full_jitter_backoff::schedule(2100, 1e-300, 1e+300, <function _make_rand.<locals>.rand >)",algorithm-identity/formula-substitution,0,0,0,0,0,0,0,CLEAN,8,16708,3130,0.097074,4,
agent_plus_oracle,full_jitter_backoff__v10,full_jitter_backoff,test,0,,,0,0,0,0,0,0,0,CLEAN,6,15524,2968,0.091092,4,
